idx,seed,n,file,status,obj_val,obj_bound,mip_gap,mip_gap_pct,runtime_s,node_count,sol_count,heur_cost,gurobi_cost,heur_gap_vs_gurobi_pct,optimal
72,1071,12,inst_072.json,9,92.87204142938796,92.8209096438487,0.0005505616626091426,0.05505616626091425,1800.0256090164185,2800313,10,94.1385010319,92.87204310285698,1.3636589513169317,0
73,1072,10,inst_073.json,9,59.35860568520028,57.95098073194328,0.0237139153962297,2.37139153962297,1800.0360579490662,3891235,10,60.143215053099816,59.35860646796289,1.3218109922448944,0
74,1073,10,inst_074.json,9,89.8325845288089,89.3229774016988,0.005672853895756193,0.5672853895756192,1800.0148630142212,4963272,10,91.04193113666317,89.83258632331365,1.3462206342328853,0
75,1074,14,inst_075.json,9,89.15022246147512,85.41526401611716,0.041895110771843165,4.189511077184316,1800.0225801467896,1630873,10,89.95455992426233,89.15022358175995,0.9022258275827227,0
76,1075,14,inst_076.json,9,93.969021873622,91.4223061264433,0.02710165218707658,2.710165218707658,1800.0772140026093,2038076,10,97.26792092790501,93.96902262771884,3.510623190426866,0
77,1076,15,inst_077.json,9,104.5496444624844,101.52109421980471,0.02896758050445998,2.896758050445998,1800.047863960266,2124734,10,105.48711912731761,104.54964517299584,0.8966782744891751,0
78,1077,12,inst_078.json,9,84.5773063918887,83.97415384365094,0.0071313757078412185,0.7131375707841219,1800.0820748806,3019274,10,85.12343948632035,84.57730759675496,0.6457191711152808,0
79,1078,10,inst_079.json,2,81.75295946059336,81.74481645494248,9.960502597834921e-05,0.009960502597834922,636.3227391242981,1958429,10,81.92037353648416,81.75295946059359,0.20478044708739024,1
80,1079,15,inst_080.json,9,88.52679450085733,82.4581877841359,0.06855107259828166,6.855107259828166,1800.0222721099854,1121616,10,90.45085195852478,88.52679549401542,2.1734170470899206,0
81,1080,10,inst_081.json,2,76.04450959079131,76.038695116335,7.646146299830975e-05,0.007646146299830975,3.0985851287841797,4598,10,76.37139439585458,76.04450959079134,0.42985983711679904,1
82,1081,15,inst_082.json,9,101.49521791028798,96.63261328532246,0.047909691954783416,4.7909691954783415,1800.0353598594666,1376808,10,101.84608802271882,101.49521845377909,0.34570058992435637,0
83,1082,15,inst_083.json,9,95.95083632091345,89.1791480161051,0.07057456260370701,7.057456260370701,1800.0267040729523,1163870,10,99.25039559172895,95.95084036032036,3.438797637433817,0
84,1083,15,inst_084.json,9,99.95608723926262,95.97733770793239,0.03980497477663747,3.980497477663747,1800.0326790809631,1966618,10,101.66402482956353,99.95608836240281,1.708686779507009,0
85,1084,15,inst_085.json,9,97.91430983031478,93.71612136905892,0.04287614822114665,4.287614822114665,1800.0170180797577,1661893,10,98.69792805687943,97.91431217642003,0.8003078028547088,0
86,1085,14,inst_086.json,9,82.86566732193499,77.85567035161583,0.060459260538567955,6.045926053856795,1800.0745570659637,1719735,10,83.7759397344849,82.8656676200627,1.0984912576771564,0
87,1086,14,inst_087.json,9,98.89550319430745,97.12709833589155,0.017881549729732275,1.7881549729732276,1800.0271019935608,2324459,10,100.56010218096014,98.89550441153754,1.6831885122863082,0
88,1087,14,inst_088.json,9,95.822418841047,92.73730895304705,0.03219611783248363,3.2196117832483626,1800.071711063385,1670690,10,97.40126506315973,95.82241912554348,1.647679063025634,0
89,1088,15,inst_089.json,9,100.30928803281992,96.96614023744095,0.03332839720968942,3.332839720968942,1800.114650964737,1498504,10,101.35125691656613,100.30928803282092,1.038756135328449,0
90,1089,10,inst_090.json,2,97.70049880376104,97.69129431949723,9.421123102239751e-05,0.009421123102239751,12.132347106933594,13971,10,98.27015594740088,97.70049880376119,0.5830647239415709,1
91,1090,15,inst_091.json,9,119.61500498098182,115.38258109871377,0.03538372031954507,3.5383720319545073,1800.0302591323853,1147306,10,119.67660997297827,119.61500633414612,0.05150159726620142,0
92,1091,15,inst_092.json,9,101.84581956825951,97.92655613333713,0.03848232015351009,3.848232015351009,1800.027526140213,1766194,10,104.69579726429141,101.84582151560198,2.7983236879805,0
93,1092,14,inst_093.json,9,104.50442339900933,101.569879530105,0.02808057088358756,2.808057088358756,1800.026731967926,1052050,10,105.58405625605451,104.50442429807697,1.0330968906140434,0
94,1093,12,inst_094.json,9,90.15552558617802,86.45624397589997,0.04103222277531923,4.103222277531923,1800.2858581542969,2903873,10,90.75654007995597,90.15552712351257,0.6666401668530136,0
95,1094,15,inst_095.json,9,112.8360791931098,109.96559123399399,0.02543945145597623,2.543945145597623,1800.0213658809662,1157994,10,114.30452772492663,112.8360791931101,1.301399820267948,0
96,1095,12,inst_096.json,9,81.69119792735093,80.86972431413437,0.010055839968794453,1.0055839968794453,1800.1055920124054,2427525,10,82.58579295955977,81.69119860090497,1.0950927076309167,0
97,1096,15,inst_097.json,9,95.4130102508652,91.64369056386904,0.03950530097610012,3.9505300976100117,1800.0379519462585,1391717,10,97.06116677192011,95.41301374428375,1.727388081518503,0
98,1097,14,inst_098.json,9,80.70305774393127,76.6311966219608,0.05045485556309876,5.045485556309877,1800.0084311962128,1679914,10,82.30006815496596,80.70306045514181,1.9788688196178525,0
99,1098,12,inst_099.json,9,78.69744296768084,77.84918981380002,0.01077866220163184,1.077866220163184,1800.028981924057,2813029,10,79.22008158160834,78.69744443061481,0.6641094317291656,0
100,1099,10,inst_100.json,2,72.10199738857125,72.09481829629675,9.956856307057082e-05,0.009956856307057081,157.8811309337616,344657,10,72.13878479595482,72.1019973889274,0.05102134248650888,1
